timestamp	phase	step	addend1	operator	addend2	target	predicted	confidence	used_finger_counting	loss	confidence_criterion	learning_rate	finger_phase	softmax_probs
2025-09-16 20:32:58.862	continuous	34	1	->	2	3	10	0.000001	False	2.486709	0.900000	0.005000		[0.08352506030637193, 0.08315204844496228, 0.08318331309580577, 0.08341469049682707, 0.08353202864579919, 0.08332142703322151, 0.08337446868647924, 0.08321471632750112, 0.08322896329340412, 0.0837959793318114, 0.08311559623620754, 0.08314170810152502]
2025-09-16 20:32:58.862	continuous	35	1	->		2	10	0.000001	False	2.487455	0.899910	0.005000		[0.08348949001534778, 0.08312126978838472, 0.0834678412555966, 0.08314804813615757, 0.08363933830369413, 0.0831347906085688, 0.08331139675996822, 0.08316314068336804, 0.08336716738542439, 0.08369189301536349, 0.08318354268930153, 0.08328208135874114]
2025-09-16 20:32:58.863	continuous	36	1	->	2	3	10	0.000001	False	2.486590	0.899820	0.004999		[0.08351792700839167, 0.08316100137009036, 0.08319320099939417, 0.08340829943983741, 0.083529708104866, 0.08331707626365567, 0.0833756702271151, 0.08321393221441997, 0.08323358699352433, 0.08379692095448814, 0.08311172159744211, 0.08314095482669129]
2025-09-16 20:32:58.863	continuous	37	1	->		2	10	0.000001	False	2.487332	0.899730	0.004999		[0.08348236904592568, 0.08313148808200457, 0.08347357613934997, 0.08314417483429502, 0.08363602390202711, 0.08313346660871324, 0.0833149092643577, 0.08316406130462198, 0.0833694759105189, 0.08369248567175241, 0.08317904519151832, 0.08327892404483139]
2025-09-16 20:32:58.863	continuous	38	1	->	2	3	10	0.000001	False	2.486471	0.899640	0.004998		[0.08351080179147448, 0.08316994744813083, 0.08320308237996496, 0.0834019069348021, 0.08352739610583748, 0.0833127248303862, 0.08337687498641884, 0.08321314707337327, 0.08323820808103503, 0.08379787090843475, 0.08310784152314478, 0.08314019793691363]
2025-09-16 20:32:58.863	continuous	39	1	->		2	10	0.000001	False	2.487209	0.899550	0.004998		[0.08347525533681294, 0.08314169966279508, 0.08347930902528691, 0.08314029782858975, 0.08363271840176792, 0.08313214048088959, 0.08331842343233029, 0.08316497958895097, 0.08337178278768426, 0.08369308581519688, 0.08317454323753914, 0.08327576440207247]
2025-09-16 20:32:58.863	continuous	40	1	->	2	3	10	0.000001	False	2.486352	0.899460	0.004997		[0.08350368434410271, 0.08317888738458981, 0.08321295806259509, 0.08339551269778434, 0.08352509247641952, 0.08330837252126284, 0.08337808292597954, 0.08321236080347491, 0.08324282658253775, 0.0837988291202107, 0.08310395578118969, 0.08313943729976915]
2025-09-16 20:32:58.864	continuous	41	1	->	2	3	10	0.000001	False	2.486166	0.899370	0.004997		[0.08350329829268886, 0.08317207581146341, 0.08322843979078397, 0.08339241840742759, 0.0835232598873526, 0.08329575269100578, 0.08336970976574212, 0.08320841900939512, 0.08325202972140726, 0.08379934504342111, 0.08310666519514581, 0.08314858638408253]
2025-09-16 20:32:58.864	continuous	42	2	->		3	3	0.000001	False	2.480867	0.899280	0.004996		[0.08337689983498872, 0.08319890526632323, 0.0836706112023085, 0.08291028671587942, 0.08353133739802995, 0.0831831999582512, 0.08320585374050658, 0.08351503366197721, 0.08348034417020135, 0.08330824696102407, 0.08311474228399644, 0.08350453880642962]
2025-09-16 20:32:58.864	continuous	43	1	->		2	10	0.000001	False	2.487176	0.899190	0.004996		[0.08346778566826098, 0.08314439594975323, 0.0835028444112437, 0.08313273452471434, 0.08362699471689818, 0.08311793016314654, 0.08331435816156697, 0.08316384715175221, 0.08338370910672892, 0.0836939886274017, 0.08317063548292994, 0.08328077603551963]
2025-09-16 20:32:58.864	continuous	44	1	->		2	10	0.000001	False	2.486985	0.899100	0.004995		[0.08346110147301863, 0.08316032622883782, 0.0834964985272616, 0.08312997471744965, 0.08362634923544124, 0.08312644250395297, 0.08332456134156156, 0.08316707856901523, 0.08337874287457096, 0.08369451972538283, 0.08316396213363274, 0.08327044266979096]
2025-09-16 20:32:58.864	continuous	45	1	->		2	10	0.000001	False	2.486795	0.899010	0.004995		[0.08345445848361827, 0.08317612561553421, 0.08349026813643025, 0.08312717110157598, 0.08362569814641795, 0.08313494725519664, 0.08333445315148467, 0.08317033731363226, 0.08337387448372424, 0.08369501019172784, 0.08315733654281607, 0.08326031957775801]
2025-09-16 20:32:58.864	continuous	46	2	->		3	3	0.000001	False	2.480804	0.898921	0.004994		[0.08335960884725252, 0.08323048108803086, 0.08367595062408552, 0.08289481296790757, 0.08353023206367917, 0.08318782707940124, 0.0832203899664581, 0.08351817962990342, 0.08348037402091277, 0.08330946851096113, 0.0831009257867978, 0.08349174941452608]
