x,mw_next,mw_add
0,0.0,
1,0.0,
2,0.0,
3,0.25,
4,0.2,
5,0.3333333333333333,
6,0.2857142857142857,
7,0.25,
8,0.3333333333333333,
9,0.3,
10,0.2727272727272727,
11,0.3333333333333333,
12,0.3076923076923077,
13,0.2857142857142857,
14,0.26666666666666666,
15,0.3125,
16,0.29411764705882354,
17,0.2777777777777778,
18,0.2631578947368421,
19,0.3,
20,0.2857142857142857,
21,0.2727272727272727,
22,0.2608695652173913,
23,0.2916666666666667,
24,0.28,
25,0.2692307692307692,
26,0.25925925925925924,
27,0.2857142857142857,
28,0.27586206896551724,
29,0.26666666666666666,
30,0.25806451612903225,
31,0.28125,
32,0.2727272727272727,
33,0.2647058823529412,
34,0.2571428571428571,
35,0.2777777777777778,
36,0.2702702702702703,
37,0.2631578947368421,
38,0.28205128205128205,
39,0.3,
40,0.2926829268292683,
41,0.2857142857142857,
42,0.27906976744186046,
43,0.2727272727272727,
44,0.28888888888888886,
45,0.2826086956521739,
46,0.2765957446808511,
47,0.2916666666666667,
48,0.2857142857142857,
49,0.3,
50,0.29411764705882354,
51,0.28846153846153844,
52,0.3018867924528302,
53,0.2962962962962963,
54,0.2909090909090909,
55,0.30357142857142855,
56,0.2982456140350877,
57,0.29310344827586204,
58,0.288135593220339,
59,0.2833333333333333,
60,0.2786885245901639,
61,0.2903225806451613,
62,0.2857142857142857,
63,0.296875,
64,0.3076923076923077,
65,0.3181818181818182,
66,0.31343283582089554,
67,0.3088235294117647,
68,0.3188405797101449,
69,0.3142857142857143,
70,0.30985915492957744,
71,0.3194444444444444,
72,0.3150684931506849,
73,0.3108108108108108,
74,0.32,
75,0.32894736842105265,
76,0.33766233766233766,
77,0.3333333333333333,
78,0.3291139240506329,
79,0.325,
80,0.3333333333333333,
81,0.32926829268292684,
82,0.3253012048192771,
83,0.32142857142857145,
84,0.3176470588235294,
85,0.32558139534883723,
86,0.3333333333333333,
87,0.3409090909090909,
88,0.33707865168539325,
89,0.34444444444444444,
90,0.34065934065934067,
91,0.34782608695652173,
92,0.34408602150537637,
93,0.3404255319148936,
94,0.3473684210526316,
95,0.34375,
96,0.35051546391752575,
97,0.3469387755102041,
98,0.35353535353535354,
99,0.35,
100,0.3465346534653465,
101,0.3431372549019608,
102,0.33980582524271846,
103,0.33653846153846156,
104,0.34285714285714286,
105,0.33962264150943394,
106,0.3364485981308411,
107,0.3333333333333333,
108,0.3302752293577982,
109,0.32727272727272727,
110,0.32432432432432434,
111,0.33035714285714285,
112,0.3274336283185841,
113,0.32456140350877194,
114,0.3217391304347826,
115,0.31896551724137934,
116,0.3162393162393162,
117,0.3220338983050847,
118,0.31932773109243695,
119,0.31666666666666665,
120,0.32231404958677684,
121,0.319672131147541,
122,0.3252032520325203,
123,0.3225806451612903,
124,0.328,
125,0.3253968253968254,
126,0.3228346456692913,
127,0.3203125,
128,0.32558139534883723,
129,0.3230769230769231,
130,0.3282442748091603,
131,0.3333333333333333,
132,0.3308270676691729,
133,0.3283582089552239,
134,0.3333333333333333,
135,0.33088235294117646,
136,0.3284671532846715,
137,0.32608695652173914,
138,0.3237410071942446,
139,0.32142857142857145,
140,0.3191489361702128,
141,0.323943661971831,
142,0.32867132867132864,
143,0.3263888888888889,
144,0.3310344827586207,
145,0.3287671232876712,
146,0.32653061224489793,
147,0.32432432432432434,
148,0.3288590604026846,
149,0.3333333333333333,
150,0.33774834437086093,
151,0.3355263157894737,
152,0.3333333333333333,
153,0.33116883116883117,
154,0.33548387096774196,
155,0.33974358974358976,
156,0.3375796178343949,
157,0.33544303797468356,
158,0.33962264150943394,
159,0.3375,
160,0.33540372670807456,
161,0.3333333333333333,
162,0.3312883435582822,
163,0.3353658536585366,
164,0.3393939393939394,
165,0.3433734939759036,
166,0.3413173652694611,
167,0.3392857142857143,
168,0.3431952662721893,
169,0.34705882352941175,
170,0.3508771929824561,
171,0.3488372093023256,
172,0.35260115606936415,
173,0.3505747126436782,
174,0.35428571428571426,
175,0.35795454545454547,
176,0.3615819209039548,
177,0.3595505617977528,
178,0.3575418994413408,
179,0.3611111111111111,
180,0.36464088397790057,
181,0.36813186813186816,
182,0.37158469945355194,
183,0.3695652173913043,
184,0.3675675675675676,
185,0.3709677419354839,
186,0.37433155080213903,
187,0.3776595744680851,
188,0.38095238095238093,
189,0.38421052631578945,
190,0.38219895287958117,
191,0.3854166666666667,
192,0.38341968911917096,
193,0.3865979381443299,
194,0.38461538461538464,
195,0.3877551020408163,
196,0.39086294416243655,
197,0.3888888888888889,
198,0.39195979899497485,
199,0.395,
200,0.39800995024875624,
201,0.400990099009901,
202,0.39901477832512317,
203,0.39705882352941174,
204,0.4,
205,0.4029126213592233,
206,0.4057971014492754,
207,0.40384615384615385,
208,0.4019138755980861,
209,0.4,
210,0.4028436018957346,
211,0.4056603773584906,
212,0.40375586854460094,
213,0.40654205607476634,
214,0.4046511627906977,
215,0.4027777777777778,
216,0.4009216589861751,
217,0.39908256880733944,
218,0.4018264840182648,
219,0.4,
220,0.40271493212669685,
221,0.4009009009009009,
222,0.40358744394618834,
223,0.4017857142857143,
224,0.4,
225,0.39823008849557523,
226,0.4008810572687225,
227,0.40350877192982454,
228,0.4017467248908297,
229,0.4,
230,0.4025974025974026,
231,0.4051724137931034,
232,0.4034334763948498,
233,0.405982905982906,
234,0.40425531914893614,
235,0.4067796610169492,
236,0.4092827004219409,
237,0.4117647058823529,
238,0.41422594142259417,
239,0.4166666666666667,
240,0.4190871369294606,
241,0.41735537190082644,
242,0.41975308641975306,
243,0.4180327868852459,
244,0.4204081632653061,
245,0.4186991869918699,
246,0.41700404858299595,
247,0.41935483870967744,
248,0.42168674698795183,
249,0.424,
250,0.4262948207171315,
251,0.42857142857142855,
252,0.4308300395256917,
253,0.42913385826771655,
254,0.43137254901960786,
255,0.43359375,
256,0.43190661478599224,
257,0.43410852713178294,
258,0.43243243243243246,
259,0.4346153846153846,
260,0.4367816091954023,
261,0.4389312977099237,
262,0.44106463878326996,
263,0.4393939393939394,
264,0.4377358490566038,
265,0.4398496240601504,
266,0.43820224719101125,
267,0.44029850746268656,
268,0.4423791821561338,
269,0.4444444444444444,
270,0.44649446494464945,
271,0.4485294117647059,
272,0.45054945054945056,
273,0.45255474452554745,
274,0.45454545454545453,
275,0.45652173913043476,
276,0.4584837545126354,
277,0.4568345323741007,
278,0.45878136200716846,
279,0.45714285714285713,
280,0.4555160142348754,
281,0.45390070921985815,
282,0.45229681978798586,
283,0.4507042253521127,
284,0.45263157894736844,
285,0.45104895104895104,
286,0.44947735191637633,
287,0.4479166666666667,
288,0.4463667820069204,
289,0.4482758620689655,
290,0.45017182130584193,
291,0.4486301369863014,
292,0.447098976109215,
293,0.4489795918367347,
294,0.45084745762711864,
295,0.44932432432432434,
296,0.4511784511784512,
